# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1030
#@/user_id	.backup
a 	啊	c=5 d=4.90637 t=1030
nan 	男	c=4 d=0.237902 t=1030
ne 	呢	c=3 d=0.0796973 t=1030
nei rong 	內容	c=4 d=1.6189 t=1030
nen cheng 	嫩城	c=1 d=0.516311 t=1030
neng 	能	c=1 d=0.0340475 t=1030
neng gou 	能夠	c=6 d=0.348679 t=1030
neng gou zai 	能夠在	c=1 d=0.04573 t=1030
ni 	你	c=4 d=0.439589 t=1030
ni cheng 	昵稱	c=2 d=0.1774 t=1030
ni hao 	你好	c=4 d=1.40131 t=1030
ni ke yi zuo shen me 	你可以做什麼	c=1 d=0.0623495 t=1030
niao 	鳥	c=2 d=1.99501 t=1001
niao ge 	鳥個	c=2 d=1.90484 t=1019
nong 	儂	c=1 d=0.0337087 t=1030
nong 	農	c=1 d=0.101266 t=1030
ou 	偶	c=1 d=0.22313 t=1030
ou 	歐	c=2 d=1.60103 t=1030
ou 	藕	c=1 d=0.798516 t=1030
pai 	派	c=1 d=0.0292874 t=1030
pan 	潘	c=1 d=1 t=1010
pan 	盤	c=5 d=1.16841 t=1030
pan zi 	潘子	c=1 d=1 t=1010
pao lu 	跑路	c=3 d=1.27946 t=1030
pao lu yun 	跑路雲	c=1 d=0.927743 t=1030
pei zhi 	配置	c=3 d=1.85251 t=1030
pei zhi wen jian 	配置文件	c=2 d=0.937676 t=1030
pi fu 	皮膚	c=7 d=2.93927 t=1030
pin 	拼	c=2 d=0.0803407 t=1030
pin dan 	拼但	c=-1 d=0.0385808 t=1030
pin dan 	拼單	c=1 d=0.0387742 t=1030
pin duo duo 	拼多多	c=1 d=0.0376283 t=1030
pin yin 	拼音	c=2 d=1.14528 t=1030
ping 	鮃	c=2 d=0.0746943 t=1030
ping jun 	平均	c=2 d=0.210273 t=1030
ping tai 	平臺	c=6 d=0.535737 t=1030
po 	破	c=2 d=1.02531 t=1030
po qie 	迫切	c=2 d=0.771552 t=1030
qi 	其	c=3 d=2.58169 t=1030
qi 	器	c=2 d=1.49279 t=1030
qi dong 	啓動	c=2 d=0.919109 t=1030
qi hou mian 	其後面	c=1 d=1 t=1030
qi ta 	其他	c=2 d=0.53028 t=1030
qi tai 	奇台	c=1 d=0.264477 t=1030
qi yang shi 	其樣式	c=1 d=1 t=1030
qi yong 	啓用	c=1 d=0.100259 t=1030
qi yong 	棄用	c=4 d=0.349521 t=1030
qi yue 	七月	c=2 d=0.434156 t=1030
qian kuan 	前款	c=-1 d=0 t=1030
qian kun 	乾坤	c=-1 d=0 t=1030
qiang da 	強大	c=1 d=0.0320312 t=1030
qie huan 	切換	c=2 d=0.149666 t=1030
qing 	青	c=1 d=0.0605068 t=1030
qing bao 	情報	c=2 d=0.281014 t=1030
qing kuai 	輕快	c=0 d=0.1 t=1030
qing kuang 	情況	c=2 d=1.99501 t=1030
qing li 	清理	c=2 d=0.737602 t=1030
qing shu ru 	請輸入	c=1 d=0.0724398 t=1030
qiu 	球	c=1 d=0.228779 t=1030
qiu 	秋	c=3 d=1.26105 t=1030
qiu zhao 	球招	c=-1 d=0.227638 t=1030
qiu zhao 	秋招	c=1 d=0.231078 t=1030
qiu zhi 	求職	c=2 d=0.271349 t=1030
qu 	佢	c=1 d=0.203926 t=1030
qu 	區	c=4 d=0.508204 t=1030
qu 	去	c=5 d=0.470396 t=1030
qu 	取	c=1 d=0.0652193 t=1030
qu xian 	曲線	c=2 d=0.305945 t=1030
quan ju 	全局	c=3 d=1.96618 t=1030
quan ju kuai jie jian 	全局快捷鍵	c=1 d=0.634448 t=1030
quan ping 	全屏	c=4 d=0.140342 t=1030
que shao 	缺少	c=2 d=0.132742 t=1030
que zhao 	卻招	c=1 d=0.226502 t=1030
qun 	羣	c=3 d=2.18558 t=1030
qun xiao xi 	羣消息	c=1 d=0.612626 t=1030
ren jun 	人均	c=2 d=0.215596 t=1030
ren ming 	人名	c=1 d=0.927743 t=1030
ren wu 	任務	c=6 d=0.762014 t=1030
ri bao 	日報	c=4 d=1.18175 t=1030
ri zhi 	日誌	c=1 d=0.904295 t=1030
rong he 	融合	c=2 d=1.32154 t=1030
rong he 	融合詞	c=1 d=0.625002 t=1030
rong he ci 	融合次	c=-2 d=1.19883 t=1030
rong he ci 	融合詞	c=-1 d=0 t=1030
rong ru 	融入	c=6 d=0.339856 t=1030
rong tong 	融通	c=1 d=0.0550232 t=1030
rong yao 	榮耀	c=2 d=0.0789176 t=1030
ru he 	如何	c=6 d=1.88402 t=1030
ru he fang bian 	如何方便	c=1 d=0.718924 t=1030
ru xia 	如下	c=4 d=3.94077 t=1030
ruan 	軟	c=1 d=0.98497 t=1030
ruan jian 	軟件	c=4 d=2.46768 t=1030
ruan lian jie 	軟鏈接	c=7 d=2.70558 t=1030
ruan lu you 	軟路由	c=7 d=1.08906 t=1030
ruo 	若	c=1 d=0.486752 t=1030
sai sa 	賽撒	c=1 d=0.499074 t=1030
san 	三	c=1 d=0.0739031 t=1030
san mu 	三木	c=1 d=0.0735345 t=1030
san mu 	三目	c=1 d=0.0739031 t=1030
san yue 	三月	c=2 d=0.425559 t=1030
sha si 	殺死	c=2 d=0.139547 t=1030
shan 	閃	c=1 d=0.701173 t=1030
shan chu 	刪除	c=6 d=3.6156 t=1030
shan hu 	珊瑚	c=2 d=0.169593 t=1030
shan yong 	善用	c=2 d=1.99501 t=1045
shang 	上	c=4 d=1.0547 t=1030
shang de 	上的	c=4 d=2.1898 t=1030
shang mian 	上面	c=1 d=1.0995 t=1030
shang mian dai ma 	上面代碼	c=1 d=1 t=1030
shao shu pai 	少數派	c=4 d=1.02512 t=1030
she 	設	c=6 d=1.01775 t=1030
she bei 	設備	c=2 d=0.905425 t=1030
she ding 	設定	c=2 d=2.02207 t=1030
she ding le 	設定了	c=1 d=1 t=1030
she ji 	設計	c=4 d=3.61946 t=1030
she ji yuan 	設計院	c=2 d=0.440718 t=1030
she qu 	社區	c=2 d=0.217762 t=1030
she xiang tou 	攝像頭	c=2 d=1.85086 t=1030
she zhi 	設置	c=2 d=1.99501 t=1019
shen me 	什麼	c=5 d=0.912905 t=1030
shen qing 	申請	c=4 d=0.545445 t=1030
sheng 	省	c=2 d=0.126901 t=1030
sheng chan 	生產	c=1 d=0.0655462 t=1030
sheng cheng 	生成	c=2 d=0.146334 t=1030
sheng sheng bu xi 	生生不息	c=2 d=0.0714076 t=1030
shi 	市	c=5 d=0.297145 t=1030
shi 	是	c=16 d=2.00657 t=1030
shi 	時	c=5 d=2.70369 t=1030
shi 	石	c=1 d=0.65377 t=1030
shi 	試	c=0 d=0.0631283 t=1030
shi a 	是啊	c=2 d=1.30428 t=1030
shi bie 	識別	c=2 d=1.70856 t=1030
shi bu ke neng 	是不可能	c=1 d=0.511402 t=1030
shi bu shi 	是不是	c=2 d=0.0646123 t=1030
shi de 	使得	c=1 d=0.657047 t=1030
shi de 	是的	c=2 d=1.31739 t=1030
shi er yue 	十二月	c=2 d=0.449621 t=1030
shi fou 	是否	c=1 d=0.574217 t=1030
shi fou yi zhi 	是否一直	c=1 d=0.474734 t=1030
shi fou yi zhi 	是否一致	c=1 d=0.477114 t=1030
shi ji 	實際	c=0 d=0.0516851 t=1030
shi ji yong 	實際用	c=1 d=0.519442 t=1030
shi li 	實力	c=4 d=0.141045 t=1030
shi pin 	視頻	c=2 d=0.373682 t=1030
shi qi 	時期	c=2 d=0.21452 t=1030
shi qing 	事情	c=4 d=2.00508 t=1030
shi xian 	實現	c=4 d=3.93106 t=1030
shi xue 	史學	c=2 d=0.0573059 t=1030
shi xue 	失血	c=2 d=0.0570201 t=1030
shi yi 	事宜	c=2 d=0.0587567 t=1030
shi yi xia 	試一下	c=1 d=0.634448 t=1030
shi yi yue 	十一月	c=2 d=0.447378 t=1030
shi yong 	使用	c=4 d=1.52888 t=1030
shi yue 	十月	c=2 d=0.445147 t=1030
shi zheng 	時政	c=2 d=0.856971 t=1030
shou biao 	手錶	c=4 d=1.30841 t=1030
shou dao 	收到	c=2 d=1.4195 t=1030
shou dao le 	收到了	c=1 d=0.640824 t=1030
shou dong 	手動	c=2 d=0.919109 t=1030
shou huan 	手環	c=14 d=1.29955 t=1030
shou ji 	手機	c=4 d=1.99325 t=1030
shou jian xiang 	收件箱	c=2 d=0.193138 t=1030
shou ming 	壽命	c=4 d=0.426949 t=1030
shou suo 	收縮	c=2 d=0.745015 t=1030
shu 	數	c=4 d=0.413004 t=1030
shu 	書	c=2 d=0.278218 t=1030
shu ben hua 	叔本華	c=2 d=0.408873 t=1030
shu chu 	輸出	c=4 d=1.08942 t=1030
shu liang 	數量	c=2 d=0.126268 t=1030
shu ma 	數碼	c=10 d=3.74205 t=1030
shu mei 	樹莓	c=1 d=0.0291545 t=1030
shu mei pai 	樹莓派	c=3 d=0.178312 t=1030
shu qian 	書籤	c=2 d=0.971076 t=1030
shu ru 	輸入	c=16 d=7.95419 t=1030
shu ru fa 	輸入法	c=4 d=1.52295 t=1030
shu ru fu hao 	輸入符號	c=1 d=0.995012 t=1030
shu xue 	數學	c=2 d=0.140247 t=1030
shu xue gong shi 	數學公式	c=2 d=1.01071 t=1030
shuang lian 	雙鏈	c=2 d=0.404805 t=1030
shuang yu 	雙語	c=2 d=0.546429 t=1030
shuang yu 	雙魚	c=1 d=0.272532 t=1030
shui mian 	睡眠	c=2 d=0.234723 t=1030
si fang 	私房	c=1 d=1.0995 t=1024
si fang cai 	私房菜	c=1 d=1 t=1024
si yue 	四月	c=2 d=0.427692 t=1030
song zong ou 	送總偶	c=1 d=0.0397558 t=1030
sou ji 	蒐集	c=2 d=0.279612 t=1030
sou suo 	搜索	c=9 d=1.96495 t=1030
sou tu 	搜圖	c=4 d=0.497244 t=1030
sui pian 	碎片	c=2 d=0.0466841 t=1030
suo 	所	c=3 d=0.830226 t=1030
ta hai 	它還	c=2 d=1.32399 t=1030
tai 	太	c=2 d=0.211327 t=1030
tao bao 	淘寶	c=10 d=0.988924 t=1030
te 	特	c=2 d=0.193643 t=1030
te 	鋱	c=1 d=0.937067 t=1030
te ding 	特定	c=4 d=3.82746 t=1030
te jie 	特解	c=4 d=0.627694 t=1030
te jiu 	特就	c=1 d=0.144424 t=1030
te li 	特例	c=2 d=1.99501 t=1030
te li 	特里	c=1 d=1 t=1030
te shu 	特殊	c=3 d=1.72779 t=1030
te shu fu hao 	特殊符號	c=1 d=0.733447 t=1030
te shu qing kuai 	特殊輕快	c=1 d=1 t=1030
te shu shu ru 	特殊輸入	c=1 d=0.752014 t=1030
te shu zi fu 	特殊字符	c=1 d=1 t=1030
ti bao 	提包	c=1 d=0.285076 t=1030
ti qu 	提取	c=2 d=0.9471 t=1030
ti wen 	擿問	c=1 d=0.0306538 t=1030
tian 	天	c=2 d=0.484325 t=1030
tian chong 	填充	c=2 d=0.0485893 t=1030
tian jia 	添加	c=4 d=0.923716 t=1030
tian lu 	天路	c=2 d=0.0481059 t=1030
tian lu 	田廬	c=1 d=0.0239928 t=1030
tian qi 	天氣	c=2 d=0.368118 t=1030
tian ruo 	天若	c=3 d=1.70131 t=1030
tian xia 	天下	c=4 d=0.0940738 t=1030
tian xie 	填寫	c=2 d=0.274076 t=1030
tiao jian 	條件	c=4 d=0.650052 t=1030
tiao mu 	條目	c=2 d=0.990693 t=1030
tie ta 	鐵塔	c=2 d=0.449621 t=1030
tie tong 	鐵通	c=2 d=0.434156 t=1030
ting 	聽	c=2 d=0.0393858 t=1030
tong bu 	同步	c=5 d=4.00269 t=1030
tong bu wei zhi 	同步位置	c=1 d=1 t=1030
tong guo 	通過	c=10 d=3.45122 t=1030
tong jie 	通解	c=6 d=0.989877 t=1030
tong xin 	通信	c=12 d=0.557809 t=1030
tong xing zheng 	通行證	c=2 d=0.212801 t=1030
tou tiao 	頭條	c=2 d=0.588987 t=1030
tou xiang 	頭像	c=2 d=0.252826 t=1030
tu biao 	圖標	c=6 d=3.22083 t=1030
tu pian 	圖片	c=3 d=0.57657 t=1030
tu xiang 	圖像	c=2 d=0.375555 t=1030
tu xing 	圖形	c=2 d=1.99501 t=1022
tuan dui 	團隊	c=6 d=0.341559 t=1030
tuan yuan 	團員	c=2 d=0.121317 t=1030
tui jian 	推薦	c=1 d=0.0229371 t=1030
tui te 	推特	c=2 d=0.173887 t=1030
wa kuang 	挖礦	c=2 d=1.99501 t=1040
wa zi 	襪子	c=1 d=0.0338573 t=1030
wan 	丸	c=1 d=0.631284 t=1030
wan zhan 	玩站	c=1 d=0.0391639 t=1030
wang 	王	c=3 d=0.565229 t=1030
wang 	網	c=4 d=1.35998 t=1030
wang an 	王安	c=1 d=0.657047 t=1030
wang guan 	王冠	c=1 d=0.0314298 t=1030
wang guan 	網關	c=6 d=0.399924 t=1030
wang jian zhuo 	王見卓	c=1 d=0.491644 t=1030
wang luo 	網絡	c=2 d=0.158128 t=1030
wang pan 	網盤	c=2 d=0.396789 t=1030
wang ye 	網頁	c=4 d=1.56794 t=1030
wang zhan 	網站	c=4 d=0.783673 t=1030
wang zhi 	網址	c=2 d=0.631694 t=1030
wei 	位	c=1 d=0.594521 t=1030
wei 	未	c=6 d=4.77235 t=1030
wei 	爲	c=10 d=4.7146 t=1030
wei fen 	微分	c=4 d=0.638905 t=1030
wei ruan 	微軟	c=8 d=2.50804 t=1030
wei wo 	爲我	c=1 d=0.0220377 t=1030
wei xian 	危險	c=4 d=0.830115 t=1030
wei xin 	微信	c=2 d=0.469351 t=1030
wei zhi 	位置	c=9 d=7.59032 t=1030
wen 	問	c=4 d=0.243278 t=1030
wen dang 	文檔	c=4 d=3.97017 t=1018
wen jian 	文件	c=7 d=1.94801 t=1030
wen jian jia 	文件夾	c=2 d=0.154997 t=1030
wen jian lu jing 	文件路徑	c=1 d=0.470011 t=1030
wen le 	穩勒	c=1 d=0.557106 t=1030
wen ti 	問題	c=1 d=0.600496 t=1030
wen zi 	文字	c=2 d=1.70004 t=1030
wo 	倭	c=1 d=0.386741 t=1030
wo 	喔	c=1 d=0.767206 t=1030
wo 	我	c=16 d=2.44895 t=1030
wo 	沃	c=1 d=0.38868 t=1030
wo 	渥	c=8 d=2.99009 t=1030
wo 	渦	c=1 d=0.380983 t=1030
wo 	窩	c=1 d=0.377192 t=1030
wo dian 	窩點	c=1 d=0.384812 t=1030
wo jue de 	我覺得	c=3 d=2.62229 t=1030
wo jue de bu tai xing 	我覺得不太行	c=3 d=2.37629 t=1030
wo lai 	我來	c=19 d=6.48126 t=1030
wo lai 	沃瀨	c=-1 d=0.50409 t=1030
wo lai 	沃萊	c=-2 d=0.883137 t=1030
wo lai 	渥來	c=-2 d=1.01073 t=1030
wo lai 	渥萊	c=-1 d=0.440432 t=1030
wo men 	我們	c=1 d=0.380983 t=1030
wo xiang 	我想	c=2 d=0.691183 t=1030
wo ye 	我也	c=1 d=0.111901 t=1030
wo ye bu zhi dao 	我也不知道	c=1 d=0.101774 t=1030
wu 	無	c=2 d=0.125149 t=1030
wu fa 	無法	c=2 d=0.0481059 t=1030
wu shuang 	無雙	c=4 d=0.0945454 t=1030
wu ta 	無他	c=2 d=1.86013 t=1030
wu xian 	無線	c=4 d=0.29112 t=1030
wu xiao 	無效	c=4 d=2.55693 t=1030
wu yue 	五月	c=2 d=0.429836 t=1030
xi 	洗	c=3 d=0.537954 t=1030
xi ge 	洗個	c=1 d=1.07773 t=1030
xi ge zao ba 	洗個澡吧	c=1 d=0.980199 t=1030
xi huan 	喜歡	c=2 d=0.190262 t=1030
xi tong 	系統	c=6 d=0.83527 t=1030
xi wa zi 	洗襪子	c=1 d=0.0306538 t=1030
xi wen 	西文	c=2 d=1.10589 t=1030
xi yi fu 	洗衣服	c=2 d=0.0608495 t=1030
xia 	下	c=15 d=3.02528 t=1030
xia lu qu 	下陸區	c=2 d=0.0833797 t=1030
xia zai 	下載	c=6 d=1.07858 t=1030
xian 	先	c=1 d=0.0397558 t=1030
xian 	鹹	c=1 d=0.0645703 t=1030
xian an 	鹹安	c=1 d=0.0645703 t=1030
xian an qu 	咸安區	c=6 d=0.265634 t=1030
xian dai 	現代	c=2 d=1.99501 t=1053
xian ning 	咸寧	c=5 d=0.258133 t=1030
xian ning shi 	咸寧市	c=2 d=0.128176 t=1030
xian shi 	顯示	c=2 d=1.44867 t=1030
xian wei jing 	纖維鏡	c=-1 d=0 t=1030
xian wei jing 	顯微鏡	c=3 d=1.41291 t=1030
xian xing 	線性	c=2 d=0.353684 t=1030
xian yu 	限於	c=1 d=0.115325 t=1030
xian yu 	鹹魚	c=2 d=0.231228 t=1030
xian zai 	現在	c=2 d=0.815176 t=1030
xiang guan 	相關	c=2 d=0.807065 t=1030
xiang ji 	相機	c=4 d=3.51102 t=1030
xiang mu 	項目	c=2 d=1.99501 t=1050
xiang yong 	想用	c=2 d=1.99501 t=1030
xiao 	孝	c=2 d=0.132 t=1030
xiao 	校	c=1 d=0.215456 t=1030
xiao chu qiang da 	孝出強大	c=1 d=0.0288686 t=1030
xiao gong ju 	小工具	c=0 d=0.1 t=1045
xiao gong ju yun 	小工具雲	c=1 d=1 t=1046
xiao ji 	小雞	c=2 d=1.49571 t=1030
xiao lu 	小路	c=1 d=0.242926 t=1030
xiao lv 	效率	c=2 d=0.487068 t=1030
xiao mi 	小米	c=37 d=2.55317 t=1030
xiao mi bi ji ben 	小米筆記本	c=1 d=0.0593087 t=1030
xiao qu 	小區	c=1 d=0.744532 t=1030
xiao wang zi 	小王子	c=2 d=0.0471533 t=1030
xiao xi 	消息	c=1 d=0.676651 t=1030
xiao yuan 	校園	c=6 d=4.04679 t=1030
xiao zhao 	校招	c=3 d=0.650714 t=1030
xiao zhong 	小衆	c=6 d=2.96223 t=1030
xie cheng 	寫成	c=2 d=1.99501 t=1030
xie gang 	斜槓	c=1 d=0.99005 t=1030
xie lou 	泄漏	c=2 d=0.224394 t=1030
xin hao 	信號	c=2 d=0.0876546 t=1030
xin jian 	新建	c=2 d=1.02086 t=1030
xin wen 	新聞	c=6 d=1.65065 t=1030
xin weng 	新翁	c=1 d=0.278037 t=1030
xing 	行	c=6 d=0.838211 t=1030
xing qu 	興趣	c=2 d=0.795049 t=1030
xing shi 	形勢	c=2 d=1.43426 t=1030
xing shi 	形式	c=1 d=0.71177 t=1030
xing wen 	刑問	c=2 d=0.205802 t=1030
xiong 	雄	c=2 d=0.195589 t=1030
xiu 	修	c=2 d=1.10037 t=1030
xiu gai 	修改	c=7 d=3.22214 t=1030
xiu gai zi 	修改自	c=1 d=0.540641 t=1030
xu 	需	c=0 d=0.00320647 t=1030
xu li ji 	需立即	c=1 d=0.0322254 t=1030
xu ni ji 	虛擬機	c=4 d=0.234206 t=1030
xu yao 	需要	c=10 d=6.21307 t=1030
xu zhi 	須知	c=2 d=1.71712 t=1030
xuan ci 	選詞	c=3 d=1.56934 t=1030
xuan huan 	玄幻	c=2 d=0.0567357 t=1030
xue shi 	學士	c=2 d=0.268649 t=1030
xue wei 	學位	c=4 d=0.356345 t=1030
xue xi 	學習	c=2 d=0.0859189 t=1030
xue yuan 	學院	c=12 d=0.56941 t=1030
xun lei 	迅雷	c=6 d=5.17736 t=1030
xun yuan 	尋元	c=1 d=0.0407622 t=1030
xun zhao 	尋找	c=4 d=1.60041 t=1030
ya 	呀	c=2 d=1.25942 t=1030
ya suo 	壓縮	c=4 d=3.44371 t=1030
yang cong 	洋蔥	c=6 d=0.139129 t=1030
yang shi 	央視	c=1 d=1 t=1030
yang shi 	樣式	c=5 d=4.97187 t=1030
yao 	要	c=2 d=0.501902 t=1030
ye 	也	c=2 d=0.205081 t=1030
ye ke yi 	也可以	c=2 d=0.085064 t=1030
ye mian 	頁面	c=2 d=1.02598 t=1030
yi 	一	c=3 d=0.574072 t=1030
yi 	已	c=1 d=0.57695 t=1030
yi ban 	一般	c=4 d=0.268155 t=1030
yi dong 	移動	c=10 d=2.32603 t=1030
yi fang mian 	一方面	c=1 d=0.465055 t=1030
yi fu 	衣服	c=4 d=1.95832 t=1030
yi ge 	一個	c=12 d=1.26869 t=1030
yi jian 	一鍵	c=2 d=1.16259 t=1030
yi jing 	已經	c=4 d=2.60994 t=1030
yi nian 	一年	c=4 d=1.53162 t=1030
yi qian 	以前	c=1 d=0.571209 t=1030
yi rong 	儀容	c=2 d=0.06239 t=1030
yi rong 	易容	c=1 d=0.0309618 t=1030
yi rong 	易溶	c=0 d=0.00306538 t=1030
yi xia 	一下	c=2 d=0.428908 t=1030
yi xia 	以下	c=1 d=0.384582 t=1030
yi yue 	一月	c=2 d=0.421325 t=1030
yi zhi 	一直	c=0 d=0.0472367 t=1030
yi zhi 	一致	c=1 d=0.529382 t=1030
yi zhi 	已知	c=2 d=0.324863 t=1030
yin liang 	音量	c=6 d=0.533612 t=1030
yin si 	隱私	c=2 d=0.225519 t=1030
yin wei 	因爲	c=2 d=1.11143 t=1030
yin yong 	引用	c=2 d=0.186495 t=1030
yin yue 	音樂	c=8 d=1.925 t=1030
ying 	英	c=4 d=0.48862 t=1030
ying gai 	應該	c=6 d=1.3329 t=1030
ying liang 	英兩	c=2 d=0.0476272 t=1030
ying pan 	硬盤	c=2 d=0.155774 t=1030
ying te na xiong nai 	英特納雄奈	c=1 d=0.0893673 t=1030
ying te na xiong nai 	英特納雄耐爾	c=1 d=0.0977834 t=1030
ying te na xiong nai er 	英特納雄耐爾爾	c=-1 d=0 t=1030
ying wei 	應爲	c=1 d=0.554327 t=1030
ying wei da 	英偉達	c=6 d=0.458514 t=1030
ying wen 	英文	c=2 d=1.70004 t=1030
ying wen ming 	英文名	c=1 d=0.951229 t=1030
ying xiang 	影響	c=4 d=0.823925 t=1030
ying yong 	應用	c=13 d=2.46498 t=1030
ying yu 	英語	c=4 d=0.32535 t=1030
ying yue 	映月	c=3 d=0.905004 t=1030
yong 	用	c=4 d=1.94408 t=1030
yong hu 	用戶	c=3 d=1.85454 t=1030
yong hu ci dian 	用戶詞典	c=1 d=0.447088 t=1030
yong hu ming 	用戶名	c=3 d=2.15609 t=1030
yong hu ming he mi ma 	用戶名和密碼	c=1 d=0.496585 t=1030
yong hu mu lu 	用戶目錄	c=3 d=2.97032 t=1030
yong hu zi dian 	用戶字典	c=1 d=0.489192 t=1030
yong yu 	用於	c=1 d=0.0682212 t=1030
you 	有	c=7 d=2.24176 t=1030
you bian 	郵編	c=2 d=0.113682 t=1030
you ge 	有個	c=2 d=0.200017 t=1030
you guan 	有關	c=2 d=1.99501 t=1030
you jian 	右鍵	c=2 d=1.99501 t=1042
you li 	尤里	c=1 d=0.326233 t=1030
you li de fu chou 	尤里的復仇	c=1 d=0.301194 t=1030
you liang ge 	有兩個	c=2 d=0.0386059 t=1030
you shen me 	有什麼	c=1 d=0.634448 t=1030
you xi 	遊戲	c=2 d=0.219951 t=1030
you xi cun dang 	遊戲存檔	c=-1 d=0 t=1030
you xian 	優先	c=2 d=1.08942 t=1030
you xian 	有限	c=2 d=0.712232 t=1030
you xiang 	郵箱	c=11 d=1.54864 t=1030
you xiu 	優秀	c=2 d=0.680892 t=1030
you yi 	有益	c=1 d=0.429495 t=1030
you yi xia 	有以下	c=1 d=0.348192 t=1030
you yi zi shen 	有益自身	c=1 d=0.390628 t=1030
yu 	與	c=14 d=2.97516 t=1030
yu 	雨	c=4 d=0.596205 t=1030
yu dian zi xin xi 	與電子信息	c=1 d=0.0572688 t=1030
yu die 	雨蝶	c=3 d=0.0723398 t=1030
yu ming 	域名	c=2 d=0.204058 t=1030
yu xi tong 	與系統	c=1 d=0.0441572 t=1030
yu xian 	預先	c=1 d=1.0995 t=1030
yu xian she ding 	預先設定	c=1 d=1 t=1030
yu yan 	語言	c=5 d=1.0995 t=1030
yu yan mo xing 	語言模型	c=1 d=1 t=1030
yuan 	源	c=4 d=0.859665 t=1030
yuan cheng 	遠程	c=2 d=0.158128 t=1030
yuan dian 	原點	c=1 d=0.167697 t=1030
yuan lian 	圓臉	c=2 d=0.956618 t=1030
yue 	月	c=3 d=0.571209 t=1030
yue 	越	c=2 d=0.313288 t=1030
yue du 	閱讀	c=3 d=1.35074 t=1030
yue du kong jian 	閱讀空間	c=1 d=0.358796 t=1030
yue du qi 	閱讀器	c=2 d=0.283838 t=1030
yun 	雲	c=9 d=4.17965 t=1030
yun dong 	運動	c=2 d=0.650931 t=1030
yun pan 	雲盤	c=1 d=0.111917 t=1030
yun shan fu 	雲閃付	c=3 d=2.1071 t=1030
yun xu 	允許	c=1 d=0.556772 t=1030
yun ying shang 	運營商	c=2 d=1.08399 t=1030
yun yue 	雲越	c=5 d=0.471543 t=1030
zai 	在	c=12 d=4.62364 t=1030
zai xiao 	在校	c=2 d=0.138159 t=1030
zao 	澡	c=1 d=1.08264 t=1030
zao shui 	早睡	c=2 d=1.93605 t=1030
zen me 	怎麼	c=1 d=0.114109 t=1030
zen me yong 	怎麼用	c=4 d=0.192119 t=1030
zhan 	站	c=2 d=0.255546 t=1030
zhan kai 	展開	c=8 d=0.29546 t=1030
zhan ran 	沾染	c=1 d=0.621885 t=1030
zhang hu 	賬戶	c=12 d=2.03193 t=1030
zhang sheng 	掌聲	c=0 d=0.1 t=1035
zhao 	招	c=6 d=1.75968 t=1030
zhao 	照	c=1 d=0.13001 t=1030
zhao pin 	招聘	c=8 d=3.18367 t=1030
zhao ping 	找平	c=2 d=0.46797 t=1030
zhao xiang 	照相	c=1 d=0.918512 t=1030
zhe 	者	c=6 d=2.98174 t=1030
zhe 	這	c=1 d=0.113592 t=1030
zhe bu 	這部	c=0 d=0.010383 t=1030
zhe bu zhi dao 	這部知道	c=1 d=0.10435 t=1030
zhe shi 	這是	c=2 d=0.410922 t=1030
zhe yang xie 	這樣寫	c=2 d=0.975943 t=1030
zhe zen me xing 	這怎麼行	c=1 d=0.103312 t=1030
zhen zai 	賑災	c=2 d=1.99501 t=1030
zheng ce 	政策	c=1 d=0.715338 t=1030
zheng chang 	正常	c=2 d=1.71712 t=1030
zheng jian 	證件	c=1 d=0.129361 t=1030
zheng jian zhao 	證件照	c=1 d=0.133989 t=1030
zheng li 	整理	c=0 d=0.00306538 t=1030
zheng li yi rong 	整理易溶	c=1 d=0.0308074 t=1030
zheng ze 	正則	c=4 d=3.44707 t=1030
zheng ze biao da shi 	正則表達式	c=3 d=2.63264 t=1030
zheng ze bu fen 	正則部分	c=1 d=1 t=1030
zhi 	之	c=2 d=0.600885 t=1030
zhi 	知	c=2 d=0.20236 t=1030
zhi chi 	支持	c=2 d=0.226649 t=1030
zhi da 	直達	c=2 d=1.9802 t=1028
zhi dao 	知道	c=0 d=0.010383 t=1030
zhi de guan zhu 	值得關注	c=2 d=0.733923 t=1030
zhi de yi kan 	值得一看	c=2 d=0.70868 t=1030
zhi fu bao 	支付寶	c=8 d=2.32799 t=1030
zhi hu 	知乎	c=3 d=0.0646973 t=1030
zhi huan 	置換	c=3 d=0.0956961 t=1030
zhi jie 	直接	c=2 d=1.117 t=1030
zhi lian 	智聯	c=4 d=2.62827 t=1030
zhi wang 	指望	c=1 d=0.180866 t=1030
zhi wang 	知網	c=1 d=0.181772 t=1030
zhi xie 	紙屑	c=4 d=1.99939 t=1030
zhong 	中	c=9 d=3.65049 t=1030
zhong dian 	重點	c=2 d=0.760065 t=1030
zhong duan 	終端	c=1 d=0.075774 t=1030
zhong guo 	中國	c=22 d=7.02607 t=1030
zhong guo ri bao 	中國日報	c=2 d=0.56307 t=1030
zhong hu 	中胡	c=1 d=0.0898153 t=1030
zhong jian 	中間	c=1 d=0.955997 t=1030
zhong wen 	中文	c=12 d=4.50478 t=1030
zhou 	軸	c=4 d=2.34858 t=1030
zhou jie lun 	周杰倫	c=2 d=0.0717655 t=1030
zhu 	主	c=1 d=0.107513 t=1030
